category	-log10(pvalue)	zscore	ratio	molecules	direction
fMLP Signaling in Neutrophils	0.443	-0.522	0.493	ARPC1B, ARPC3, ARPC4, Calm1 (includes others), CHP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, ITPR2, KRAS, MAP2K1, MAPK3, MRAS, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS		negative
Salvage Pathways of Pyrimidine Ribonucleotides	0.439	0.816	0.5	ACVR2A, ADPGK, AKT2, APOBEC2, CDK8, CMPK2, CSNK1A1, EIF2AK2, GRK4, GRK5, HIPK1, IRAK1, MAP2K1, MAP2K3, MAP2K6, MAPK3, MAPK7, MAPK8, PIM1, PRKAA1, PRKCE, PRKCQ, PRPF4B, UCK2, UCKL1		positive
Synaptogenesis Signaling Pathway	0.434	-0.465	0.482	ADCY5, ADCY8, AFDN, AKT1, AKT2, AKT3, AP2A2, APOE, ARPC1B, ARPC3, ARPC4, ATF4, BDNF, CACNB1, CACNB4, CADM1, Calm1 (includes others), CAMK2D, CAMK2G, CDH10, CDH15, CDH17, CDH2, CDH23, CDH5, CREB3L2, CRK, CTNNB1, EFNB1, EIF4EBP1, EIF4EBP2, EPHA3, EPHA7, EPHB2, EPHB3, EPHB6, GOSR2, GPAA1, GRIN1, GRIN2A, GRINA, HRAS, ITSN1, KRAS, LRP1, MAPK14, MAPK3, MAPT, MRAS, MTOR, NAP1L1, NAP1L4, NAPB, NAPG, NECTIN3, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PRKCE, RAB5C, RALA, RAPGEF1, RASGRP2, RHOA, RRAS, SHE, STX16, STXBP3, STXBP5, SYT11, SYT12, THBS2, THBS4, VLDLR, VTI1B		negative
TNFR2 Signaling	0.433	0.302	0.522	IKBKB, IKBKG, JUN, MAP3K1, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, TNFAIP3, TNFRSF1B, TRAF2		positive
Role of JAK2 in Hormone-like Cytokine Signaling	0.426	0	0.524	GHR, IRS1, IRS2, PRLR, PTPN11, SH2B1, SIRPA, SOCS2, SOCS3, SOCS7, STAT3		no direction
Bladder Cancer Signaling	0.422	-0.243	0.492	CCND1, CDKN1A, E2F6, EGFR, ERBB2, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, KRAS, MAP2K1, MAPK3, MMP14, MRAS, NRAS, PDGFC, RALA, RBL2, RPS6KA5, RRAS, TP53, VEGFD		negative
Osteoarthritis Pathway	0.422	0.885	0.484	ADAMTS4, ADAMTS5, ANXA5, ATF4, BMPR2, CASP2, CASP3, CASQ1, CREB3L2, CTNNA1, CTNNB1, DDIT4, FADD, FGF18, FGF2, FZD7, GLI3, H19, HDAC4, HES1, HTRA1, IL1R1, IL1RAP, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, LRP1, MEF2C, MTOR, MYBBP1A, NAMPT, NFKB1, NOTCH1, PDGFC, PPARD, PPARG, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PTGS2, RBP4, RELA, S1PR3, SIK3, SMAD3, SMAD4, SPP1, TGFB1, TGFBR2, TIMP3, TLR4, TNFRSF1B, VEGFD		positive
Transcriptional Regulatory Network in Embryonic Stem Cells	0.419	0	0.526	CDYL, EOMES, H3-3A/H3-3B, H4C3, H4C9, MYF5, RIF1, STAT3, TRIM24, ZFHX3		no direction
Role of NFAT in Regulation of the Immune Response	0.416	-1.265	0.485	AKT1, AKT2, AKT3, Calm1 (includes others), CD3G, CD80, CHP1, CSNK1A1, CSNK1E, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HLA-A, HRAS, IKBKB, IKBKG, ITPR2, JUN, KPNA3, KPNB1, KRAS, MAP2K1, MAPK3, MEF2A, MEF2C, MEF2D, MRAS, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, RALA, RCAN1, RELA, RRAS, XPO1		negative
PXR/RXR Activation	0.409	-0.894	0.5	ABCB1, ABCC3, AKT1, AKT2, AKT3, ALDH1A1, ALDH3A2, CPT1A, FOXO1, GSTM1, IL6, INSR, NCOA1, PPARA, PPARGC1A, PRKACA, PRKAR1A, PRKAR2B, RELA, SCD		negative
ATM Signaling	0.4	0.209	0.491	ATF4, CBX5, CDC25A, CDKN1A, CREB3L2, FANCD2, GADD45A, GADD45G, H2AX, JUN, MAPK12, MAPK14, MAPK8, MDM4, NFKBIA, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RAD17, RNF168, SMC1A, SMC3, TLK2, TP53, TRIM28, ZEB1		positive
Th2 Pathway	0.4	2.041	0.491	ACVR1, ACVR2A, APH1B, BMPR2, CD3G, CD80, HLA-A, IL12RB2, IL33, IL4R, JUN, MAF, NCSTN, NFATC2, NFKB1, NOTCH1, NOTCH3, PIK3CB, PIK3R1, PIK3R3, PRKCQ, PSEN1, S1PR1, SOCS3, SPI1, STAT6, TGFB1, TGFBR2		positive
CDK5 Signaling	0.4	-0.87	0.487	ADCY5, ADCY8, BDNF, CAPN1, EGR1, GNAL, HRAS, ITGA3, ITGA6, ITGB1, KRAS, LAMA2, LAMA5, LAMB1, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MAPT, MRAS, NGFR, NRAS, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, RALA, RRAS		negative
Lipid Antigen Presentation by CD1	0.398	0	0.538	AP2A2, B2M, CALR, CD1D, CD3G, PDIA3, PSAP		no direction
Parkinson's Signaling	0.398	0	0.538	CASP3, MAPK12, MAPK14, MAPK8, PRKN, SNCAIP, UCHL1		no direction
Androgen Signaling	0.392	0.408	0.484	AR, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CALR, CCND1, CCNH, DNAJB1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GTF2A1, GTF2E1, GTF2H2, GTF2H5, H3-3A/H3-3B, HSP90AA1, ITPR2, JUN, MAPK3, MRAS, NCOA1, NFKB1, POLR2E, POLR2I, POLR2J, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RELA, SMAD3, TAF12, TAF15		positive
Dermatan Sulfate Degradation (Metazoa)	0.39	0.816	0.545	CEMIP, FGFRL1, GM2A, HEXA, HYAL2, OGA		positive
Ethanol Degradation II	0.39	0.816	0.545	ACSL1, ACSS1, ALDH1A1, ALDH3A2, Aldh3b2, DHRS4		positive
Mitochondrial L-carnitine Shuttle Pathway	0.39	0.816	0.545	ACSL1, ACSL3, ACSL5, ACSL6, CPT1A, SLC27A1		positive
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	0.388	0.229	0.491	AKT1, AKT2, AKT3, BMP8A, BMPR1B, BMPR2, CTNNB1, FZD7, HRAS, IL6ST, KRAS, LIFR, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RIF1, RRAS, SMAD4, STAT3, TP53, WNT9A		positive
GNRH Signaling	0.386	-1.406	0.481	ADCY5, ADCY8, ATF4, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAMK2D, CAMK2G, CREB3L2, EGFR, EGR1, GNAI2, GNB1, GNB2, GNG2, HRAS, ITPR2, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MRAS, NFKB1, NRAS, PAK4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTK2, RALA, RELA, RRAS		negative
Hepatic Cholestasis	0.386	0	0.481	ABCB1, ABCC3, ADCY5, ADCY8, CD14, CYP27A1, ESR1, IKBKB, IKBKG, IL15, IL17F, IL1R1, IL1RAP, IL33, IL6, INSR, IRAK1, IRAK2, JUN, LBP, LTB, MAPK12, MAPK8, MYD88, NFKB1, NFKBIA, NFKBIB, NGFR, NR1H2, NR1H3, NR1H4, PPARA, PPRC1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RARA, RELA, SREBF1, TGFB1, TGFB2, TGFB3, TLR4, TNFRSF11B, TNFRSF1B, TNFSF12, TRAF2, TRAF6		no direction
G Beta Gamma Signaling	0.384	0	0.486	AKT1, AKT2, AKT3, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAV1, CAV3, EGFR, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, ITPR2, KRAS, MAPK3, MRAS, NRAS, PDPK1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RALA, RRAS		no direction
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.381	0.447	0.556	INPP5A, INPP5E, INPP5K, INPPL1, IPMK		positive
Chondroitin Sulfate Degradation (Metazoa)	0.381	0.447	0.556	CEMIP, GM2A, HEXA, HYAL2, OGA		positive
Glucocorticoid Receptor Signaling	0.375	0	0.473	ACTB, ADRB2, AKT1, AKT2, AKT3, ANXA1, AR, ARID1A, ARID2, ATP5F1C, ATP5F1D, ATP5MC1, B2M, BCL2L11, CAV1, CCL5, CCNH, CD163, CD3G, CDKN1A, CEBPA, CHP1, CSF2RB, DUSP1, EGFR, ESR1, FBP1, FKBP4, FKBP5, GABPA, GHR, GTF2A1, GTF2E1, GTF2H2, GTF2H5, H3-3A/H3-3B, HLA-A, HP, HRAS, HSP90AA1, HSPA2, IKBKB, IKBKG, IL12RB2, IL17RA, IL17RC, IL17RD, IL17RE, IL1R1, IL4R, IL6, IL6R, IL6ST, IRF3, JUN, KRAS, KRT19, KRT80, MAP2K1, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MED1, MED14, MRAS, MT-CYB, MT-ND1, MT-ND2, MT-ND4, NCOA1, NDUFA10, NDUFA6, NDUFA9, NDUFAF1, NDUFB5, NDUFB7, NDUFS1, NDUFV1, NDUFV2, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PC, PDK4, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, POLR2E, POLR2I, POLR2J, PPARG, PPP3CA, PPP3CB, PPP3R1, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PTGS2, RALA, RARA, RARG, RELA, RPS6KA5, RRAS, RXRG, SDHD, SLC37A4, SMAD3, SMAD4, SMARCA2, SMARCB1, SMARCD2, SMARCD3, SRA1, STAT3, TAF12, TAF15, TAT, TFB1M, TGFB1, TGFB2, TGFB3, TGFBR2, TRAF2, TRAF6, TSC22D3, UQCRC2, VCAM1		no direction
Cleavage and Polyadenylation of Pre-mRNA	0.371	0	0.571	CSTF2, NUDT21, PABPN1, PAPOLA		no direction
Fatty Acid α-oxidation	0.371	0	0.571	ALDH1A1, ALDH3A2, Aldh3b2, PTGS2		no direction
Methylglyoxal Degradation III	0.371	0	0.571	Akr1b10, AKR1B10, AKR7A2, PRXL2B		no direction
Mismatch Repair in Eukaryotes	0.371	0	0.571	MSH6, PCNA, POLD1, RPA1		no direction
Sucrose Degradation V (Mammalian)	0.371	2	0.571	ALDOA, ALDOB, GALM, TPI1		positive
Superpathway of Citrulline Metabolism	0.371	1	0.571	ASL, GLS, LOC102724788/PRODH, OAT		positive
PD-1, PD-L1 cancer immunotherapy pathway	0.369	0.447	0.489	AKT1, AKT2, AKT3, B2M, CBLB, CD274, CD80, HLA-A, MR1, NGFR, PDCD4, PIK3CB, PIK3R1, PIK3R3, PRKCQ, PTPN11, SMAD3, TGFB1, TGFB2, TGFB3, TNFRSF11B, TNFRSF1B, YAP1		positive
Coronavirus Pathogenesis Pathway	0.363	1.26	0.478	ACE, ADAM9, AR, ATF4, ATP6AP1, ATP6V1A, BAX, BCL2L11, CASP3, CCL5, CCND1, CCNE2, DDIT3, DDX58, E2F6, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, IFNAR2, IKBKB, IL17RA, IL6, IRF3, JUN, KPNB1, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, NPC1, PIKFYVE, PTGES2, PTGS2, PYCARD, RBL2, RELA, RPS27L, RPS5, RPS7, SMAD3, SMAD4, STAT3, STING1, TGFB1, TGFBR2, TOMM70, TP53, TRAF3		positive
IL-10 Signaling	0.362	0	0.489	CD14, IKBKB, IKBKG, IL1R1, IL1RAP, IL33, IL4R, IL6, JUN, LBP, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, SOCS3, STAT3, TRAF6		no direction
2-oxobutanoate Degradation I	0.361	0	0.6	DLD, MMUT, PCCA		no direction
Glycogen Biosynthesis II (from UDP-D-Glucose)	0.361	0	0.6	EPM2A, GBE1, GYS1		no direction
Hematopoiesis from Pluripotent Stem Cells	0.361	0	0.6	CD3G, IL6, KITLG		no direction
Heme Biosynthesis II	0.361	0	0.6	CPOX, FECH, UROD		no direction
Oleate Biosynthesis II (Animals)	0.361	0	0.6	SCD, Scd2, UFSP1		no direction
Fc Epsilon RI Signaling	0.361	-0.73	0.484	AKT1, AKT2, AKT3, HRAS, INPP5K, INPPL1, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PRKCE, PRKCI, PRKCQ, PTPN11, RALA, RRAS		negative
Role of PKR in Interferon Induction and Antiviral Response	0.361	-0.333	0.481	APAF1, ATF3, BAX, CASP3, DDX58, EIF2AK2, FADD, FAS, HSP90AA1, HSPA2, IFNAR2, IKBKB, IKBKG, IRF1, IRF3, JUN, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MYD88, NFKB1, NFKBIA, NFKBIB, PDGFA, PDGFB, PDGFC, PYCARD, RELA, STAT3, TARBP2, TLR4, TP53, TRAF3, TRAF6		negative
TWEAK Signaling	0.359	0.832	0.5	APAF1, CASP3, FADD, IKBKB, IKBKG, NFKB1, NFKBIA, NFKBIB, RELA, TNFRSF12A, TNFSF12, TRAF2, TRAF3		positive
Cell Cycle: G1/S Checkpoint Regulation	0.356	-0.243	0.488	CCND1, CCND3, CCNE2, CDC25A, CDKN1A, CUL1, E2F6, FOXO1, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, RBL2, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TP53		negative
HIPPO signaling	0.355	1.091	0.483	AJUBA, AMOT, CD44, CSNK1E, CUL1, FAT4, FRMD6, ITCH, MOB1A, PATJ, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, SMAD3, SMAD4, STK3, STK4, TEAD1, TP53BP2, WWTR1, YAP1, YWHAB, YWHAG, YWHAZ		positive
1,25-dihydroxyvitamin D3 Biosynthesis	0.348	0	0.667	CYP27B1, POR		no direction
Arginine Biosynthesis IV	0.348	0	0.667	ASL, OAT		no direction
Biotin-carboxyl Carrier Protein Assembly	0.348	0	0.667	ACACB, HLCS		no direction
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	0.348	0	0.667	ECI1, ECI2		no direction
Folate Transformations I	0.348	0	0.667	MTHFD1, MTHFR		no direction
GDP-mannose Biosynthesis	0.348	0	0.667	GPI, MPI		no direction
Hematopoiesis from Multipotent Stem Cells	0.348	0	0.667	IL15, KITLG		no direction
L-cysteine Degradation I	0.348	0	0.667	CDO1, GOT2		no direction
Lysine Degradation II	0.348	0	0.667	AASDH, AASDHPPT		no direction
Molybdenum Cofactor Biosynthesis	0.348	0	0.667	GPHN, MOCS2		no direction
PRPP Biosynthesis I	0.348	0	0.667	PRPS1, PRPS2		no direction
Pathogenesis of Multiple Sclerosis	0.348	0	0.667	CCL5, CXCL10		no direction
Phosphatidylethanolamine Biosynthesis II	0.348	0	0.667	CHKA, ETNK1		no direction
Leptin Signaling in Obesity	0.342	0.577	0.487	ADCY5, ADCY8, AKT1, AKT2, AKT3, FOXO1, MAP2K1, MAPK3, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PTPN11, SOCS3, STAT3		positive
Coronavirus Replication Pathway	0.342	-1.508	0.5	ACE, BAG3, COPA, COPB2, COPG2, DDX1, TUBA1A, TUBB, TUBB2B, TUBB6, ZCRB1		negative
Spliceosomal Cycle	0.342	0.302	0.5	BUD13, CASC3, DDX39B, EFTUD2, MAGOH, PRPF18, PRPF19, SF3A1, SF3B2, SF3B4, SF3B6		positive
UVA-Induced MAPK Signaling	0.337	0.258	0.481	CASP3, EGFR, HRAS, JUN, KRAS, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, MTOR, NRAS, PARP4, PARP9, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, RALA, RPS6KA2, RPS6KA5, RRAS, TIPARP, TNKS, TP53		positive
Xenobiotic Metabolism Signaling	0.336	0	0.473	ABCB1, ABCC3, ALDH1A1, ALDH1L1, ALDH3A2, CAMK2D, CAMK2G, CHST10, CHST3, DNAJC7, FMO1, GSTM1, GSTM3, GSTM5, GSTO1, HDAC4, HDAC5, HRAS, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, HSP90AA1, IL6, KEAP1, KRAS, MAF, MAOA, MAOB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MED1, MGST3, MRAS, NCOA1, NDST1, NDST4, NFKB1, NQO1, NRAS, PIK3CB, PIK3R1, PIK3R3, PPARGC1A, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS, SMOX, SNW1, SOD3, SRA1		no direction
Renin-Angiotensin Signaling	0.334	0.365	0.478	ACE, ADCY5, ADCY8, CCL5, HRAS, ITPR2, JUN, KRAS, MAP2K1, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTK2, RALA, RELA, RRAS, SHE, STAT3		positive
MSP-RON Signaling Pathway	0.333	0	0.5	ACTA1, ACTA2, ACTB, ACTC1, CSF2RB, PIK3CB, PIK3R1, PIK3R3, RPS6KA2, TLR4		no direction
Retinol Biosynthesis	0.333	1.414	0.5	AKR1B10, Akr1b10, CEL, DHRS3, DHRS4, LIPE, LIPG, LPL, PLB1, PNPLA2		positive
4-hydroxybenzoate Biosynthesis	0.332	0	1	TAT		no direction
4-hydroxyphenylpyruvate Biosynthesis	0.332	0	1	TAT		no direction
Acyl Carrier Protein Metabolism	0.332	0	1	AASDHPPT		no direction
Adenine and Adenosine Salvage VI	0.332	0	1	ADK		no direction
Alanine Biosynthesis II	0.332	0	1	GPT2		no direction
Alanine Degradation III	0.332	0	1	GPT2		no direction
Arginine Degradation VI (Arginase 2 Pathway)	0.332	0	1	OAT		no direction
Asparagine Biosynthesis I	0.332	0	1	ASNS		no direction
D-mannose Degradation	0.332	0	1	MPI		no direction
Diphthamide Biosynthesis	0.332	0	1	EEF2		no direction
Dolichol and Dolichyl Phosphate Biosynthesis	0.332	0	1	DOLK		no direction
Geranylgeranyldiphosphate Biosynthesis	0.332	0	1	GGPS1		no direction
Glutamine Biosynthesis I	0.332	0	1	GLUL		no direction
Glutamine Degradation I	0.332	0	1	GLS		no direction
Glutathione Biosynthesis	0.332	0	1	GSS		no direction
Glycine Betaine Degradation	0.332	0	1	SRR		no direction
Histidine Degradation III	0.332	0	1	MTHFD1		no direction
Inosine-5'-phosphate Biosynthesis II	0.332	0	1	PAICS		no direction
L-glutamine Biosynthesis II (tRNA-dependent)	0.332	0	1	GATB		no direction
L-serine Degradation	0.332	0	1	SRR		no direction
Lactose Degradation III	0.332	0	1	GLB1		no direction
Pentose Phosphate Pathway (Oxidative Branch)	0.332	0	1	H6PD		no direction
Proline Biosynthesis II (from Arginine)	0.332	0	1	OAT		no direction
Protein Citrullination	0.332	0	1	PADI2		no direction
S-methyl-5-thio-α-D-ribose 1-phosphate Degradation	0.332	0	1	APIP		no direction
Spermine and Spermidine Degradation I	0.332	0	1	SMOX		no direction
Taurine Biosynthesis	0.332	0	1	CDO1		no direction
Thymine Degradation	0.332	0	1	DPYD		no direction
Thyroid Hormone Biosynthesis	0.332	0	1	CTSD		no direction
Thyroid Hormone Metabolism I (via Deiodination)	0.332	0	1	DIO2		no direction
Thyronamine and Iodothyronamine Metabolism	0.332	0	1	DIO2		no direction
Trehalose Degradation II (Trehalase)	0.332	0	1	HK2		no direction
Uracil Degradation II (Reductive)	0.332	0	1	DPYD		no direction
Prolactin Signaling	0.33	-0.408	0.481	HRAS, IRF1, IRS1, JUN, KCNMA1, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PRLR, PTPN11, RALA, RRAS, SOCS2, SOCS3, SOCS7, STAT3		negative
Eicosanoid Signaling	0.327	-0.378	0.486	CYSLTR1, DPEP1, LTA4H, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PTGER3, PTGER4, PTGES, PTGES2, PTGIS, PTGS2		negative
IL-2 Signaling	0.327	-0.775	0.486	AKT1, AKT2, AKT3, HRAS, JUN, KRAS, MAP2K1, MAPK3, MAPK8, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RRAS		negative
TNFR1 Signaling	0.327	1	0.486	APAF1, CASP2, CASP3, CRADD, FADD, IKBKB, IKBKG, JUN, MAP3K1, MAPK8, NFKB1, NFKBIA, NFKBIB, PAK4, RELA, TNFAIP3, TRAF2		positive
Apelin Liver Signaling Pathway	0.323	0.333	0.5	APLN, COL1A2, COL3A1, COL5A3, EDN1, FAS, IRS1, MAPK12, MAPK8		positive
Dermatan Sulfate Biosynthesis (Late Stages)	0.323	-0.333	0.5	CHST10, CHST3, DSE, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, NDST1, NDST4		negative
α-Adrenergic Signaling	0.322	-0.688	0.477	ADCY5, ADCY8, Calm1 (includes others), EPM2A, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GYS1, HRAS, ITPR2, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PHKA2, PHKB, PHKG1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PYGM, RALA, RRAS, SLC8A3		negative
Th1 and Th2 Activation Pathway	0.311	0	0.474	ACVR1, ACVR2A, APH1B, BMPR2, CD274, CD3G, CD80, HLA-A, IL12RB2, IL33, IL4R, IL6, IL6R, IRF1, JUN, MAF, MAP2K6, NCSTN, NFATC1, NFATC2, NFIL3, NFKB1, NOTCH1, NOTCH3, PIK3CB, PIK3R1, PIK3R3, PRKCQ, PSEN1, S1PR1, SOCS3, SPI1, STAT3, STAT6, TGFB1, TGFBR2		no direction
WNT/β-catenin Signaling	0.311	0.845	0.473	ACVR1, ACVR2A, AKT1, AKT2, AKT3, APPL2, BMPR2, CCND1, CD44, CDH2, CDH5, CSNK1A1, CSNK1E, CTNNB1, DVL3, FZD7, JUN, KREMEN1, LRP1, MARK2, PPARD, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RARA, RARG, RUVBL2, SFRP1, SOX11, SOX4, SOX6, TGFB1, TGFB2, TGFB3, TGFBR2, TLE3, TLE4, TP53, Ubb, UBC, WNT9A		positive
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.31	-1.291	0.484	DDX58, FADD, IKBKB, IKBKG, IL6, IRF3, JUN, MAPK12, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, TRAF3, TRAF6		negative
Heparan Sulfate Biosynthesis	0.31	-0.258	0.484	CHST10, CHST3, EXT1, EXTL2, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, LIPE, NDST1, NDST4, PLA1A, PNPLA7, PPME1, PRDX6		negative
Role of CHK Proteins in Cell Cycle Checkpoint Control	0.31	-0.632	0.484	ATMIN, CDC25A, CDKN1A, E2F6, HUS1, PCNA, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RAD17, RPA1, TLK2, TP53		negative
Atherosclerosis Signaling	0.304	0	0.475	APOE, COL1A2, COL3A1, COL5A3, F3, GLG1, IL33, IL6, LPL, NFKB1, PDGFA, PDGFB, PDGFC, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, RBP4, RELA, SELP, TGFB1, TNFRSF12A, TNFSF12, VCAM1		no direction
3-phosphoinositide Biosynthesis	0.303	-0.762	0.47	ATP1A1, ATP1A2, CA3, CDC25A, CDIPT, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPPL1, IPMK, MDP1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
mTOR Signaling	0.303	-1.021	0.47	AKT1, AKT1S1, AKT2, AKT3, ATG13, DDIT4, DGKZ, EIF3D, EIF3E, EIF3F, EIF3M, EIF4EBP1, EIF4EBP2, EIF4G3, FNBP1, HRAS, INSR, IRS1, KRAS, MAPK3, MRAS, MTOR, NRAS, PDGFC, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PRKCE, PRKCI, PRKCQ, PRR5L, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RPS27L, RPS5, RPS6KA2, RPS6KA5, RPS7, RPTOR, RRAS, TSC1, TSC2, ULK1, VEGFD		negative
Glutathione-mediated Detoxification	0.3	-0.816	0.5	Gsta4, GSTM1, GSTM3, GSTM5, GSTO1, MGST3, PTGES		negative
Retinoate Biosynthesis I	0.3	0.378	0.5	Akr1b10, AKR1B10, ALDH1A1, DHRS3, DHRS4, RDH16, RDH5		positive
